id,autor_id,nombre_archivo,ruta_archivo,ruta_comprimida,fecha_creacion,fecha_modificacion,ubicacion_latitud,ubicacion_longitud,resolucion,tipo_archivo,velocidad_obturador,tiempo_exposicion,iso,rotacion_imagen,fecha_hora,balance_blancos,distancia_focal,flash,objetivo,tipo_archivo_camara,tipo_camara,software_utilizado,etiquetado_gps
1,1,foto-1692398262369.jpg,uploads\foto-1692398262369.jpg,uploads\foto-1692398262369_compressed.jpg,2023:04:02 10:34:23,2023-08-18T22:37:42.446Z,,,4000x3000,,0.000764525993883792,0,100,1.0,,0,4.71,9,,,motorola moto g(10),,
2,1,foto-1692399688851.jpg,uploads\foto-1692399688851.jpg,uploads\foto-1692399688851_compressed.jpg,2023:04:02 11:25:48,2023-08-18T23:01:28.933Z,,,undefinedxundefined,,0.000625,2,100,1.0,,0,11.7,16,,,NIKON CORPORATION COOLPIX P1000,COOLPIX P1000  V1.6,
